streetAddress,zipcode,livingArea,Price,zpid,walk_score,transit_score,felony_count,misdemeanor_count,violation_count,population_per_1000,median_income,
7501 Aquatic Dr,11692,2238,647000,68316618,81,76,1883,2692,1202,24.639,53498,
5814 134th St,11355,2272,238000,32063723,78,76,4105,4926,1788,80.918,46963,
453 Leland Ave,10473,2301,427450,29791297,77,64,5887,10085,3749,60.296,48212,
8639 110th St,11418,2301,751190,32116752,90,79,2509,4743,1565,38.938,77708,
8751 108th St,11418,2336,270500,32118615,84,84,2509,4743,1565,38.938,77708,
322 56th St,11220,2352,868000,30578733,87,96,7084,10130,2413,93.584,57046,
106 Soundview Ave,10473,2421,329000,64490758,40,54,5887,10085,3749,60.296,48212,
1751 Garfield St,10460,2432,565000,29812532,83,95,7177,12364,4242,59.979,31504,
1021 E 217th St,10469,2448,639999,83179089,75,84,4703,8301,2858,75.29,70415,
153-35 78th St,11414,2496,257000,32168906,65,65,1635,1891,765,30.915,86113,
12939 157th St,11434,2500,620000,32187853,73,67,7012,11046,3279,66.424,66546,
10506 Avenue J,11236,2508,467000,30775658,72,89,7148,11138,4558,102.238,73562,
1637 E 24th St,11229,2600,910000,30727109,89,88,4141,6429,1693,85.538,69076,
246 Beach 130th St,11694,2608,495000,32226726,77,64,1033,1978,780,22.432,88643,
10712 157th St,11433,2700,515000,32138319,76,100,4530,7379,1942,41.396,68801,
901 Home St,10459,2751,399000,64751987,85,100,6887,11912,4046,51.303,36631,
4015 48th St,11104,2760,1290000,31934277,93,100,1130,2005,847,27.575,81142,
937 E 227th St,10466,3000,473500,29833019,84,83,6496,11266,4287,75.767,62918,
17227 Baisley Blvd,11434,3100,814600,112518862,84,74,7012,11046,3279,66.424,66546,
329 Clinton St,11231,3150,2475000,30569247,97,100,3064,4551,1109,40.311,121638,
1228 Boynton Ave,10472,3198,375000,29795850,90,96,7129,10131,3764,66.72,36730,
153 Tompkins Ave,11206,3464,994419,30607411,90,97,10321,16686,5352,90.903,49013,
861 E 217th St,10467,3763,900000,29827191,79,90,10256,17424,5562,102.209,42639,
1074 Washington Ave,10456,4000,2450000,29777568,86,99,10380,17110,6731,90.314,31166,
459 Sleight Ave,10307,6580,1249000,32375678,61,55,678,1537,469,14.828,117469,
1911 Atlantic Ave,11233,2124,1280000,30601387,86,99,9165,13371,5500,85.633,52380,
641 E 104th St,11236,200,399000,30773793,60,95,7148,11138,4558,102.238,73562,
2200 Strang Ave,10466,200,227500,29835471,73,72,6496,11266,4287,75.767,62918,
2210 Dr Martin L King Jr Blvd,10453,450,266000,29786401,90,100,6907,12377,4814,80.393,34860,
