streetAddress,zipcode,livingArea,Price,zpid,walk_score,transit_score,felony_count,misdemeanor_count,violation_count,population_per_1000,median_income,
15 Benton Ave,10305,1350,478000,32326661,85,71,1958,4006,1846,44.531,76833,
20616 104th Ave,11429,1432,478000,32155349,81,76,1969,2696,1108,28.643,89318,
191 Corson Ave,10301,1484,478000,112117480,73,75,3648,7624,2999,38.736,78053,
291 Glen Ave,10301,1510,478000,32273416,54,68,3648,7624,2999,38.736,78053,
2916 Baisley Ave,10461,1638,478000,29840859,88,77,4357,7747,2624,52.756,61087,
937 Goethals Rd N #1,10303,1936,478000,2078704101,60,58,2252,4594,1804,27.469,69879,
98 Arnold St,10301,2550,478000,32272646,50,67,3648,7624,2999,38.736,78053,
1025 E 103rd St,11236,2156,478091,30775574,60,87,7148,11138,4558,102.238,73562,
11949 165th St,11434,1740,478100,32189604,82,72,7012,11046,3279,66.424,66546,
11639 168th St,11434,902,478500,32189349,76,75,7012,11046,3279,66.424,66546,
337 South Ave,10303,1408,478500,32300887,75,57,2252,4594,1804,27.469,69879,
4303 Edson Ave,10466,1224,478746,29838713,73,82,6496,11266,4287,75.767,62918,
78 Whitman Ave,10308,1800,478750,32346479,80,58,766,1409,819,30.353,116082,
4036 73rd St,11377,1906,478750,143384427,97,100,4741,7506,2685,85.255,66325,
3255 Ely Ave,10469,946,478854,29830344,76,83,4703,8301,2858,75.29,70415,
11 Penn Ave,10306,1152,478888,32337570,75,69,2306,5154,2279,55.805,88687,
2869 Schley Ave,10465,1188,478950,29848519,86,55,3015,6081,2197,46.205,80245,
1031 Bay 24th St,11691,1460,478950,32222522,67,73,6250,9127,4297,70.797,54877,
143-20 Hoover Ave #204,11435,703,479000,2078689135,73,96,4707,6241,1831,60.842,71346,
27 Stanton Rd,11235,800,479000,30792456,82,67,4749,7226,1987,84.859,58669,
1125 E 73rd St FLOOR 2,11234,800,479000,2078990679,83,79,5551,8786,2903,94.254,86185,
106 Smith Pl,10302,868,479000,32297267,91,63,1462,3205,1151,18.144,73927,
24306 132nd Ave,11422,912,479000,32201442,83,59,1828,2479,1309,34.063,95945,
3807 Merritt Ave,10466,988,479000,2091617208,83,73,6496,11266,4287,75.767,62918,
7501 Ridge Blvd #6,11209,1000,479000,2077121098,96,86,3390,7359,1871,72.938,84145,
1410 Outlook Ave #3,10465,1076,479000,2076721052,23,56,3015,6081,2197,46.205,80245,
25943 149th Rd,11422,1086,479000,32213017,51,48,1828,2479,1309,34.063,95945,
379 Freeborn St,10306,1095,479000,32333893,65,61,2306,5154,2279,55.805,88687,
6776 Booth St APT 3O,11375,1150,479000,2089769817,94,100,2691,6747,1430,76.091,96321,
42 Bower Ct,10309,1188,479000,32372238,62,43,1115,2261,881,35.832,107500,
229 Clove Rd,10310,1200,479000,32276155,84,67,1794,3431,1457,25.976,96161,
1357 Intervale Ave,10459,1200,479000,29783310,80,100,6887,11912,4046,51.303,36631,
121 Admiral Ct,10473,1206,479000,2078273583,42,54,5887,10085,3749,60.296,48212,
4143 Baychester Ave,10466,1224,479000,29837477,74,79,6496,11266,4287,75.767,62918,
4 Ashton Dr,10312,1260,479000,32362426,51,44,1450,2839,1254,63.935,100875,
10926 221st St,11429,1264,479000,32163141,62,68,1969,2696,1108,28.643,89318,
430 Hinsdale St,11207,1332,479000,30635050,74,100,14088,17544,6677,97.69,45616,
196 Elm St,10310,1440,479000,32275350,73,62,1794,3431,1457,25.976,96161,
563 Hollywood Ave,10465,1664,479000,29845278,74,54,3015,6081,2197,46.205,80245,
291 Calhoun Ave,10465,1744,479000,29849124,75,48,3015,6081,2197,46.205,80245,
121-123 Admiral Ct #53,10473,1900,479000,72651873,33,53,5887,10085,3749,60.296,48212,
1013 Brinsmade Ave,10465,1944,479000,29847855,77,63,3015,6081,2197,46.205,80245,
1868 Barnes Ave,10462,2000,479000,29813467,78,93,5578,9030,3028,78.47,59032,
13312 Francis Lewis Blvd,11413,2080,479000,32201285,89,55,3201,3906,1795,45.661,104236,
11019 91st Ave,11418,2272,479000,32118715,85,84,2509,4743,1565,38.938,77708,
902 E 223rd St,10466,2440,479000,29832785,82,86,6496,11266,4287,75.767,62918,
2889 E 196th St,10461,1120,479500,29816983,40,91,4357,7747,2624,52.756,61087,
23819 149th Ave,11422,2700,479500,32213804,29,52,1828,2479,1309,34.063,95945,
1179 Bergen St,11213,3406,479500,64536180,90,100,7022,10632,4021,69.392,48896,
63 Navigator Ct,10309,1470,479800,62724156,21,49,1115,2261,881,35.832,107500,
321B Hillman Ave,10314,1260,479900,2086188054,83,61,3723,8850,3294,93.736,94578,
116 Lexington Ave,10302,1324,479900,32296653,89,65,1462,3205,1151,18.144,73927,
81 Beechwood Pl,10314,1470,479900,32280411,91,61,3723,8850,3294,93.736,94578,
21214 Hollis Ave,11429,1224,479999,32161321,74,78,1969,2696,1108,28.643,89318,
46A Country Dr E,10314,1350,479999,2076476470,69,60,3723,8850,3294,93.736,94578,
5 Tudor City Place,10017,450,480000,2077777358,98,100,2614,5115,1087,15.514,136112,
930 E 215th St,10469,550,480000,29827594,81,87,4703,8301,2858,75.29,70415,
420 64th St APT 8D,11220,640,480000,30691232,92,100,7084,10130,2413,93.584,57046,
19 Douglas Ave,10310,741,480000,32279255,52,57,1794,3431,1457,25.976,96161,
455 Revere Ave,10465,752,480000,29848579,86,51,3015,6081,2197,46.205,80245,
22-20 76th St #A3,11370,756,480000,2076881708,77,67,2563,3564,834,29.78,67241,
8722 118th St,11418,800,480000,32119716,93,90,2509,4743,1565,38.938,77708,
39 Keiber Ct,10314,916,480000,32281201,79,60,3723,8850,3294,93.736,94578,
13912 Glassboro Ave,11435,944,480000,32179370,61,64,4707,6241,1831,60.842,71346,
9 Dalton Ave,10306,960,480000,32338206,72,59,2306,5154,2279,55.805,88687,
376 Main St,10307,960,480000,316676058,60,58,678,1537,469,14.828,117469,
5320 211th St,11364,960,480000,32084285,60,66,1601,1431,645,39.015,90970,
17215 143rd Rd,11434,968,480000,32192990,66,71,7012,11046,3279,66.424,66546,
219 Midland Ave,10306,972,480000,32329911,84,72,2306,5154,2279,55.805,88687,
107-25 124th St,11419,1000,480000,2091962103,92,79,3567,5027,2000,50.107,84245,
12034 Nashville Blvd,11412,1020,480000,32195476,62,64,2727,3683,1414,41.782,93429,
381 Willow Rd E,10314,1040,480000,32303086,65,63,3723,8850,3294,93.736,94578,
147 Bay 20th St APT 3,11214,1050,480000,30713230,95,100,4219,8120,2493,95.361,58487,
1360 Gillespie Ave,10461,1064,480000,29842021,88,84,4357,7747,2624,52.756,61087,
1045 Hendrix St,11207,1088,480000,30648816,69,91,14088,17544,6677,97.69,45616,
1234 College Ave,10456,1100,480000,29777998,87,100,10380,17110,6731,90.314,31166,
22221 130th Ave,11413,1104,480000,32198431,50,63,3201,3906,1795,45.661,104236,
3230 Layton Ave,10465,1116,480000,29845825,76,59,3015,6081,2197,46.205,80245,
214 Spratt Ave,10306,1120,480000,32345011,39,66,2306,5154,2279,55.805,88687,
9006 216th St,11428,1120,480000,32149680,78,80,1505,2310,807,21.184,83417,
11918 231st St,11411,1120,480000,32197580,71,58,1164,1655,626,21.605,108131,
11720 230th St,11411,1145,480000,32196501,83,59,1164,1655,626,21.605,108131,
591 Powell St,11212,1148,480000,30636164,77,100,12131,16236,7264,78.296,30733,
4056 Ely Ave,10466,1152,480000,29835867,83,75,6496,11266,4287,75.767,62918,
25958 149th Ave,11422,1156,480000,32213028,51,48,1828,2479,1309,34.063,95945,
2652 Mill Rd,11214,1166,480000,30731414,83,93,4219,8120,2493,95.361,58487,
141 Main St #A,10307,1188,480000,64853999,72,63,678,1537,469,14.828,117469,
1425 Harding Park,10473,1200,480000,29790391,50,59,5887,10085,3749,60.296,48212,
244 Saratoga Ave,11233,1200,480000,30601464,84,100,9165,13371,5500,85.633,52380,
50 Linwood Ave,10305,1200,480000,2084330030,77,68,1958,4006,1846,44.531,76833,
195 Bayview Ave,10309,1200,480000,32367740,49,58,1115,2261,881,35.832,107500,
10946 124th St,11420,1206,480000,32171390,70,76,3699,5303,1883,51.831,89027,
13311 131st St,11420,1216,480000,32177844,61,61,3699,5303,1883,51.831,89027,
1156 Jackson Ave,10456,1224,480000,29779339,87,99,10380,17110,6731,90.314,31166,
31 Orange Ave,10302,1224,480000,32297108,83,65,1462,3205,1151,18.144,73927,
46 Kirshon Ave,10314,1248,480000,32304459,83,62,3723,8850,3294,93.736,94578,
130 Beach 62nd St #60A,11692,1249,480000,94721312,70,72,1883,2692,1202,24.639,53498,
153 Hagaman Pl,10302,1250,480000,32297194,92,65,1462,3205,1151,18.144,73927,
87 Alex Cir,10305,1254,480000,58577937,75,60,1958,4006,1846,44.531,76833,
8812 129th St,11418,1256,480000,32120016,79,100,2509,4743,1565,38.938,77708,
9521 Allendale St,11435,1264,480000,32136611,90,100,4707,6241,1831,60.842,71346,
16721 109th Rd,11433,1264,480000,32139166,84,86,4530,7379,1942,41.396,68801,
16335 Claude Ave,11433,1280,480000,32139294,74,80,4530,7379,1942,41.396,68801,
13205 109th Ave,11420,1280,480000,32129347,54,71,3699,5303,1883,51.831,89027,
524 Saint Lawrence Ave,10473,1281,480000,29791813,77,62,5887,10085,3749,60.296,48212,
280 W 234th St,10463,1296,480000,29851954,98,91,5170,11242,2836,73.256,63048,
11414 130th St,11420,1296,480000,32173374,74,67,3699,5303,1883,51.831,89027,
4 Edison St,10306,1300,480000,32329839,77,72,2306,5154,2279,55.805,88687,
154 Jefferson St,10304,1300,480000,32328539,86,69,3367,6455,2878,43.849,64539,
51 Idlease Pl,10306,1300,480000,32332464,74,66,2306,5154,2279,55.805,88687,
3396 Ely Ave,10469,1300,480000,29833972,81,82,4703,8301,2858,75.29,70415,
8932 118th St,11418,1320,480000,32120249,87,87,2509,4743,1565,38.938,77708,
2527 Fenton Ave,10469,1320,480000,29821982,82,78,4703,8301,2858,75.29,70415,
394 Wilcox St,10303,1324,480000,32306931,84,62,2252,4594,1804,27.469,69879,
228 Neptune Ct #228,10473,1330,480000,2076909645,20,53,5887,10085,3749,60.296,48212,
18 Atmore Pl,10306,1340,480000,32340473,34,60,2306,5154,2279,55.805,88687,
77 Post Ln,10303,1340,480000,32300648,50,54,2252,4594,1804,27.469,69879,
24107 Mayda Rd,11422,1344,480000,32209846,62,62,1828,2479,1309,34.063,95945,
101 Justin Ave,10306,1344,480000,32344761,56,66,2306,5154,2279,55.805,88687,
93 Leverett Ave,10308,1360,480000,32342113,64,53,766,1409,819,30.353,116082,
462 Stoneham St,10306,1360,480000,32334430,49,61,2306,5154,2279,55.805,88687,
8 Barry St,10309,1376,480000,62724225,65,43,1115,2261,881,35.832,107500,
165 Forest Grn,10312,1376,480000,32361781,54,46,1450,2839,1254,63.935,100875,
4142 Gunther Ave,10466,1386,480000,29837045,80,84,6496,11266,4287,75.767,62918,
1238 Manor Ave,10472,1392,480000,145585635,92,94,7129,10131,3764,66.72,36730,
197 Dubois Ave,10310,1401,480000,32277148,89,64,1794,3431,1457,25.976,96161,
197-199 Dubois Ave,10310,1401,480000,68321951,89,64,1794,3431,1457,25.976,96161,
335 South Ave,10303,1408,480000,79737998,75,57,2252,4594,1804,27.469,69879,
168 Roosevelt Ave,10314,1420,480000,32292971,49,52,3723,8850,3294,93.736,94578,
18 Sperry Pl,10312,1427,480000,32363394,44,41,1450,2839,1254,63.935,100875,
5711 138th St,11355,1430,480000,32064037,89,78,4105,4926,1788,80.918,46963,
8203 155th Ave #1C,11414,1432,480000,2076809410,72,67,1635,1891,765,30.915,86113,
428 Autumn Ave,11208,1440,480000,30644008,91,91,12008,15377,5263,107.724,49679,
6416 Beach Channel Dr,11692,1440,480000,83055747,79,73,1883,2692,1202,24.639,53498,
222 Colony Ave,10306,1440,480000,32333336,65,55,2306,5154,2279,55.805,88687,
523 E 235th St,10470,1450,480000,29789966,86,87,1512,2447,786,16.446,70107,
132 Hillside Ave,10304,1450,480000,32287188,40,63,3367,6455,2878,43.849,64539,
314 Tanglewood Dr,10308,1472,480000,32341145,37,49,766,1409,819,30.353,116082,
113 Morani St FLOOR 1,10314,1480,480000,2077480218,86,59,3723,8850,3294,93.736,94578,
50-60 Linwood Ave,10305,1500,480000,32325461,77,68,1958,4006,1846,44.531,76833,
33 Venus Ln,10314,1500,480000,32316880,41,58,3723,8850,3294,93.736,94578,
15027 125th St,11420,1518,480000,32179185,36,64,3699,5303,1883,51.831,89027,
317 E 241st St,10470,1520,480000,29789807,91,76,1512,2447,786,16.446,70107,
1925 Edenwald Ave,10466,1530,480000,29837379,79,77,6496,11266,4287,75.767,62918,
471 Doane Ave,10308,1550,480000,32352025,63,58,766,1409,819,30.353,116082,
10921 167th St,11433,1552,480000,32139172,83,88,4530,7379,1942,41.396,68801,
2511 Tenbroeck Ave,10469,1564,480000,29821258,55,84,4703,8301,2858,75.29,70415,
26 Sperry Pl,10312,1575,480000,32363390,44,41,1450,2839,1254,63.935,100875,
28 Farrell Ct,10306,1575,480000,32337428,79,65,2306,5154,2279,55.805,88687,
3202 Philip Ave,10465,1586,480000,320226871,77,56,3015,6081,2197,46.205,80245,
85 Louisiana Ave,11207,1600,480000,30647371,82,100,14088,17544,6677,97.69,45616,
6708 198th St,11365,1600,480000,32078029,63,67,2369,3684,1032,45.439,73279,
17219 Baisley Blvd,11434,1600,480000,32190424,86,74,7012,11046,3279,66.424,66546,
252 Mill Rd,10306,1600,480000,32334958,77,64,2306,5154,2279,55.805,88687,
3480 Eastchester Rd,10469,1614,480000,29829017,83,78,4703,8301,2858,75.29,70415,
2751 Wilson Ave,10469,1620,480000,29823392,66,80,4703,8301,2858,75.29,70415,
605 Naughton Ave,10305,1636,480000,2096467943,44,58,1958,4006,1846,44.531,76833,
605 Naughton Ave #26A2,10305,1636,480000,32332890,44,58,1958,4006,1846,44.531,76833,
14650 Huxley St,11422,1638,480000,32209697,55,59,1828,2479,1309,34.063,95945,
2575 Seymour Ave,10469,1665,480000,29821867,76,79,4703,8301,2858,75.29,70415,
105 Amity Pl,10303,1680,480000,32306814,81,62,2252,4594,1804,27.469,69879,
4136 Baychester Ave,10466,1683,480000,29837539,72,76,6496,11266,4287,75.767,62918,
9939 211th Pl,11429,1683,480000,32154711,80,78,1969,2696,1108,28.643,89318,
63 Peacock Loop,10309,1684,480000,59821111,43,54,1115,2261,881,35.832,107500,
35 Yacht Club Cv,10308,1684,480000,2090613538,61,61,766,1409,819,30.353,116082,
1566 Bogart Ave,10462,1690,480000,29813609,88,87,5578,9030,3028,78.47,59032,
58 Beach St,10304,1696,480000,32284616,90,72,3367,6455,2878,43.849,64539,
13747 168th St,11434,1700,480000,32192604,78,70,7012,11046,3279,66.424,66546,
1047 Swinton Ave,10465,1728,480000,29847776,77,63,3015,6081,2197,46.205,80245,
630 E 220th St,10467,1760,480000,29826430,85,95,10256,17424,5562,102.209,42639,
25317 147th Rd,11422,1764,480000,32211757,58,59,1828,2479,1309,34.063,95945,
29 Dreyer Ave,10314,1776,480000,32309329,72,58,3723,8850,3294,93.736,94578,
13 Bailey Pl,10303,1776,480000,32301136,38,53,2252,4594,1804,27.469,69879,
121 Melvin Ave,10314,1786,480000,63385187,58,45,3723,8850,3294,93.736,94578,
476 Gower St,10314,1806,480000,32292302,57,49,3723,8850,3294,93.736,94578,
515 Medina St,10306,1816,480000,32343290,52,66,2306,5154,2279,55.805,88687,
38 Ithaca St,10306,1816,480000,32343298,52,66,2306,5154,2279,55.805,88687,
3334 Hone Ave,10469,1818,480000,29826141,79,85,4703,8301,2858,75.29,70415,
17 Mimosa Ln,10312,1826,480000,32362328,34,45,1450,2839,1254,63.935,100875,
14 Russek Dr,10312,1826,480000,32362378,51,44,1450,2839,1254,63.935,100875,
3831 Amundson Ave,10466,1860,480000,29834802,83,73,6496,11266,4287,75.767,62918,
72 Harrison Ave,10302,1873,480000,32297457,87,67,1462,3205,1151,18.144,73927,
64 Hammock Ln,10312,1900,480000,32361412,41,43,1450,2839,1254,63.935,100875,
4183 E Tremont Ave,10465,1912,480000,29845398,80,49,3015,6081,2197,46.205,80245,
40 Evergreen St,10308,1923,480000,32340982,30,62,766,1409,819,30.353,116082,
2231 Homer Ave,10473,1944,480000,29793063,79,74,5887,10085,3749,60.296,48212,
14450 158th St,11434,1950,480000,32218534,68,61,7012,11046,3279,66.424,66546,
2648 Bainbridge Ave,10458,1958,480000,29787750,93,100,8717,14920,4186,86.757,38768,
80 Hett Ave,10306,1960,480000,32335449,45,61,2306,5154,2279,55.805,88687,
458 E 187th St,10458,1980,480000,29784277,96,100,8717,14920,4186,86.757,38768,
13508 Hook Creek Blvd,11422,1980,480000,32206192,75,63,1828,2479,1309,34.063,95945,
648 Saint Anns Ave,10455,1983,480000,29778830,91,100,7193,12297,3674,42.781,30741,
1198 E 94th St,11236,2000,480000,30774310,83,88,7148,11138,4558,102.238,73562,
43-18 18 #219,11361,2000,480000,2085507021,87,66,1739,2122,752,30.006,93734,
59-23 Parsons,11365,2000,480000,2085503672,74,72,2369,3684,1032,45.439,73279,
55 Willis Ave,10301,2010,480000,2081737250,85,75,3648,7624,2999,38.736,78053,
2058 Ryer Ave,10457,2044,480000,29785735,91,100,10195,17954,5893,79.443,38066,
8638 125th St,11418,2120,480000,32117857,90,100,2509,4743,1565,38.938,77708,
10610 103rd Ave,11417,2185,480000,32125056,89,84,2838,4172,1236,33.236,78498,
654 Coster St,10474,2200,480000,29781342,89,85,2199,3651,1154,11.312,33157,
142 York Ave,10301,2244,480000,32271606,49,69,3648,7624,2999,38.736,78053,
11515 167th St,11434,2250,480000,32189101,76,76,7012,11046,3279,66.424,66546,
33 Albert Ct,10303,2256,480000,32306743,75,61,2252,4594,1804,27.469,69879,
2210 Manning St,10462,2304,480000,29811518,94,92,5578,9030,3028,78.47,59032,
8116 Pettit Ave,11373,2400,480000,31964666,98,100,6586,12244,2757,102.104,62072,
730 Saint Lawrence Ave,10473,2406,480000,29792688,87,75,5887,10085,3749,60.296,48212,
7803 84th St,11385,2408,480000,32018841,73,66,6596,11146,3311,109.111,77350,
2901 Far Rockaway Blvd,11691,2410,480000,32223249,63,74,6250,9127,4297,70.797,54877,
162 Beach 115th St,11694,2430,480000,32225923,86,84,1033,1978,780,22.432,88643,
228 Beach 20th St,11691,2430,480000,32221254,82,70,6250,9127,4297,70.797,54877,
16120 99th St,11414,2465,480000,32217664,67,81,1635,1891,765,30.915,86113,
1240 Colgate Ave,10472,2476,480000,29795686,87,100,7129,10131,3764,66.72,36730,
448 Manhattan St,10307,2500,480000,32375781,21,43,678,1537,469,14.828,117469,
4005 Paulding Ave,10466,2520,480000,29832966,82,81,6496,11266,4287,75.767,62918,
3009 Laconia Ave,10469,2520,480000,29824950,81,83,4703,8301,2858,75.29,70415,
17042 118th Ave,11434,2600,480000,32189990,74,74,7012,11046,3279,66.424,66546,
1361 Bronx River Ave,10472,2600,480000,29797692,81,100,7129,10131,3764,66.72,36730,
1236 Evergreen Ave,10472,2604,480000,29795709,89,99,7129,10131,3764,66.72,36730,
739 E 220th St,10467,2660,480000,29826908,89,92,10256,17424,5562,102.209,42639,
1320 College Ave,10456,2662,480000,29781491,84,100,10380,17110,6731,90.314,31166,
14744 45th Ave,11355,2738,480000,32047495,84,80,4105,4926,1788,80.918,46963,
4003 Hill Ave,10466,2788,480000,29836301,74,70,6496,11266,4287,75.767,62918,
451 Beach 72nd St,11692,3000,480000,32225221,73,73,1883,2692,1202,24.639,53498,
2263 Creston Ave,10453,3018,480000,29785869,91,100,6907,12377,4814,80.393,34860,
14563 176th St,11434,3292,480000,32207274,71,65,7012,11046,3279,66.424,66546,
13838 97th Ave,11435,3366,480000,32136655,88,100,4707,6241,1831,60.842,71346,
13840 97th Ave,11435,3366,480000,83056636,88,100,4707,6241,1831,60.842,71346,
220 Heberton Ave,10302,3500,480000,32296014,89,67,1462,3205,1151,18.144,73927,
23 Dover Grn,10312,1480,480351,32361869,53,46,1450,2839,1254,63.935,100875,
12704 97th Ave,11419,1980,480480,32123600,79,98,3567,5027,2000,50.107,84245,
8945 199th St,11423,1248,480500,32145461,76,81,1969,2658,942,30.983,69386,
14563 177th St,11434,1566,480500,32207337,76,65,7012,11046,3279,66.424,66546,
857 Calhoun Ave,10465,1000,480537,29848185,89,62,3015,6081,2197,46.205,80245,
317 Hollywood Ave,10465,1744,480653,29845354,78,49,3015,6081,2197,46.205,80245,
620 E 223rd St,10466,1424,480744,29831614,86,92,6496,11266,4287,75.767,62918,
142 Laguardia Ave,10314,1150,481000,32288986,76,56,3723,8850,3294,93.736,94578,
21912 130th Dr,11413,1208,481000,32199267,69,64,3201,3906,1795,45.661,104236,
205 Bedford Ave,10306,1240,481000,32329524,84,72,2306,5154,2279,55.805,88687,
179-31 144th,11434,1296,481000,2088484493,70,70,7012,11046,3279,66.424,66546,
1320 Eastern Pkwy,11233,2563,481000,30597161,90,100,9165,13371,5500,85.633,52380,
3422 92nd St,11372,4241,481000,31963242,90,96,4808,8043,2222,67.252,62910,
423 Raritan Ave,10305,780,481650,32327549,72,66,1958,4006,1846,44.531,76833,
230 Liberty Ave,10305,1298,481650,32328634,80,70,1958,4006,1846,44.531,76833,
14010 140th St,11436,1980,481650,83052977,79,68,1687,2321,1014,21.248,78306,
2269 Creston Ave,10453,3000,481650,29785867,91,100,6907,12377,4814,80.393,34860,
758 E 225th St,10466,3654,481650,29832030,91,88,6496,11266,4287,75.767,62918,
1031 Tiffany St,10459,1680,481658,29780537,92,100,6887,11912,4046,51.303,36631,
2942 Throop Ave,10469,1088,481783,29824398,76,81,4703,8301,2858,75.29,70415,
10439 205th St,11412,1480,481822,32155313,82,73,2727,3683,1414,41.782,93429,
9975 1st St,11414,1050,481920,32218189,52,51,1635,1891,765,30.915,86113,
201 East 37th Street 5h #5H,10016,500,482000,2084223192,100,100,4911,7448,1911,56.758,136431,
8824 201st St,11423,952,482000,32145720,82,78,1969,2658,942,30.983,69386,
11 Linda Ave,10305,1200,482000,32323459,74,62,1958,4006,1846,44.531,76833,
288 Brinsmade Ave,10465,1440,482000,29849352,28,47,3015,6081,2197,46.205,80245,
247 Loretto St,10307,1716,482000,32375419,54,52,678,1537,469,14.828,117469,
1110 E 214th St,10469,1813,482000,29828601,82,81,4703,8301,2858,75.29,70415,
182 Regis Dr,10314,1912,482300,32305759,50,63,3723,8850,3294,93.736,94578,
16144 Grand Central Pkwy,11432,1934,482436,32073512,84,100,5991,9091,2272,64.858,66246,
740 E 230th St,10466,1986,482475,29832182,91,89,6496,11266,4287,75.767,62918,
25 Greenfield Ct,10304,880,482500,32318446,76,66,3367,6455,2878,43.849,64539,
263 Waters Ave,10314,1080,482500,32301832,76,62,3723,8850,3294,93.736,94578,
7118 164th St,11365,1520,482500,2133494135,84,72,2369,3684,1032,45.439,73279,
4034 69th St,11377,1712,482500,31958175,98,100,4741,7506,2685,85.255,66325,
170 Westervelt Ave,10301,2052,482500,32271478,61,72,3648,7624,2999,38.736,78053,
185 Beach 125th St,11694,3000,482500,32226997,72,74,1033,1978,780,22.432,88643,
90 Park Ave,10302,3750,482500,32295776,85,67,1462,3205,1151,18.144,73927,
3912 Murdock Ave,10466,1272,482519,29835223,81,71,6496,11266,4287,75.767,62918,
627 E 103rd St,11236,1872,482589,30773787,73,95,7148,11138,4558,102.238,73562,
3780 Willett Ave,10467,1158,482725,29826403,86,96,10256,17424,5562,102.209,42639,
255 Targee St,10304,1080,483000,32285346,71,65,3367,6455,2878,43.849,64539,
59 Forest Grn,10312,1112,483000,32361743,60,46,1450,2839,1254,63.935,100875,
1559 E 91st St,11236,1480,483000,30778114,67,68,7148,11138,4558,102.238,73562,
14447 230th St,11413,1500,483000,32209205,48,61,3201,3906,1795,45.661,104236,
303 E 169th St,10456,1520,483000,29781526,85,99,10380,17110,6731,90.314,31166,
1440 Mac Donough Pl,10465,1739,483000,29843770,52,84,3015,6081,2197,46.205,80245,
2525 Hollers Ave,10475,1836,483000,29851495,54,63,2461,4488,1486,44.509,56327,
24 Kirkland Ct,10302,1200,483289,59820440,81,67,1462,3205,1151,18.144,73927,
9902 195th St,11423,1280,483372,32153733,66,82,1969,2658,942,30.983,69386,
2539 45th St,11103,2695,483678,31942121,95,73,3267,6332,1419,35.912,82597,
290 Gower St,10314,1020,483800,32290641,77,55,3723,8850,3294,93.736,94578,
9229 Queens Blvd APT 10C,11374,700,484000,2105330522,96,100,1560,3710,919,47.019,79221,
3004 Philip Ave,10465,1384,484000,29845029,71,59,3015,6081,2197,46.205,80245,
1011 E 92nd St,11236,1425,484000,30773153,78,90,7148,11138,4558,102.238,73562,
14711 258th St,11422,1440,484000,32212175,64,60,1828,2479,1309,34.063,95945,
6094 Amboy Rd,10309,1440,484000,32368384,68,54,1115,2261,881,35.832,107500,
184 Forest Grn,10312,1452,484000,32361852,54,46,1450,2839,1254,63.935,100875,
4236 Vireo Ave,10470,1632,484000,29789925,88,86,1512,2447,786,16.446,70107,
28 Birch Ln,10312,1736,484000,32361826,54,46,1450,2839,1254,63.935,100875,
1799 Mansion St,10460,2024,484474,29798851,90,100,7177,12364,4242,59.979,31504,
165 E 72nd St APT 10F,10021,561,484500,112334906,100,100,2169,3519,655,42.484,136060,
10418 210th St,11429,1690,484500,32155538,72,75,1969,2696,1108,28.643,89318,
11832 224th St,11411,1288,484550,32196828,82,63,1164,1655,626,21.605,108131,
18317 Dunlop Ave,11412,968,484624,32142652,65,82,2727,3683,1414,41.782,93429,
244 Hylan Blvd,10305,1150,484900,32318863,86,68,1958,4006,1846,44.531,76833,
13230 Sanford Ave #APT 3C,11354,475,485000,2082813141,96,100,5459,9944,2432,53.375,52273,
509 E 83rd St APT 5R,10028,550,485000,72533551,97,100,2816,5054,821,47.793,149789,
223 E 50th St APT 5B,10022,600,485000,244898928,100,100,4652,5822,1253,33.303,156255,
869 Delafield Ave,10310,600,485000,32277144,86,63,1794,3431,1457,25.976,96161,
166 W 76th #F,10023,600,485000,2078186908,99,100,3927,8490,1718,65.891,136109,
2925 Brighton 7th St,11235,693,485000,30789306,97,87,4749,7226,1987,84.859,58669,
227 Princeton Ave,10306,720,485000,32337249,92,68,2306,5154,2279,55.805,88687,
344 W 48th St APT 3W,10036,720,485000,299156245,99,100,7057,11239,2661,30.437,98177,
337 Cheves Ave,10314,728,485000,32283576,82,61,3723,8850,3294,93.736,94578,
227-32 113th Ave,11429,750,485000,2080382985,37,63,1969,2696,1108,28.643,89318,
141 Hendricks Ave,10301,750,485000,32271356,65,73,3648,7624,2999,38.736,78053,
2974 Brighton 5th Pl UNIT 2B,11235,762,485000,216136996,97,90,4749,7226,1987,84.859,58669,
1489 E 8th St APT B3,11230,780,485000,30719047,90,92,3443,5521,1620,91.789,61017,
43 Northern Blvd,10301,780,485000,32288160,68,63,3648,7624,2999,38.736,78053,
7615 35th Ave APT 5M,11372,784,485000,245407970,91,100,4808,8043,2222,67.252,62910,
949 E 231st St,10466,800,485000,29833219,86,84,6496,11266,4287,75.767,62918,
218-24 39th,11361,800,485000,2081154236,87,66,1739,2122,752,30.006,93734,
365 Cheves Ave,10314,840,485000,32283568,81,60,3723,8850,3294,93.736,94578,
66 Goodwin Ave,10314,840,485000,32281329,83,61,3723,8850,3294,93.736,94578,
285 Cromwell Ave,10305,880,485000,32326964,80,69,1958,4006,1846,44.531,76833,
2524 25th Rd #202,11102,884,485000,32025251,98,84,2225,3453,1320,27.876,95478,
26 Ellington St,10304,896,485000,32319610,72,66,3367,6455,2878,43.849,64539,
2075 N Railroad Ave,10306,914,485000,32344450,68,65,2306,5154,2279,55.805,88687,
11760 166th St,11434,924,485000,32189533,80,73,7012,11046,3279,66.424,66546,
117-60 166th,11434,924,485000,2080932441,80,73,7012,11046,3279,66.424,66546,
