Zipcode,MedianIncome,ErrorMargin
11692,53498,5821
11693,64688,13650
11694,88643,9858
11697,113047,26222
11701,87480,9268
11702,129375,18360
11703,110889,13425
11704,110143,2671
11705,119609,20668
11706,102380,7629
11709,119760,13000
11710,151731,8219
11713,88864,11427
11714,117126,7030
11715,105425,24694
11716,109871,14503
11717,105625,9171
11718,147813,29896
11719,96736,20304
11720,114471,7060
11721,177179,32684
11722,89746,10763
11724,"250,000+",***
11725,152216,10943
11726,96953,12741
11727,84246,5466
11729,113240,7970
11730,126618,11510
11731,143093,7711
11732,104050,41202
11733,161801,18211
11735,128438,10393
11738,123313,13533
11739,162708,55400
11740,132218,23833
11741,125971,8756
11742,115984,15560
11743,144452,9591
11746,129432,8205
11747,123648,24316
11749,100771,13822
11751,110806,14601
11752,129715,22280
11753,162043,16610
11754,109208,11344
11755,114097,14821
11756,127733,5797
11757,106765,3834
11758,130315,7033
11762,145099,15209
11763,101201,6807
11764,127463,8894
11765,"250,000+",***
11766,131544,15859
11767,132990,17593
11768,147840,11678
11769,114593,22685
11770,105500,42804
11771,129648,37008
11772,95630,6291
11776,113140,10383
11777,122860,7829
11778,105764,11346
11779,106340,8565
11780,139365,14931
11782,131712,8897
11783,147969,13268
11784,93250,13177
11786,147132,17048
11787,136182,7934
11788,129316,10803
11789,115750,9972
11790,135880,21461
11791,171719,14059
11792,138320,27024
11793,156750,11382
11795,142385,8268
11796,142522,29241
11797,190093,27472
11798,88201,8182
11801,121688,10130
11803,166829,7835
11804,154483,39215
11901,74235,7766
11930,144318,52935
11932,111979,46050
11933,67500,17431
11934,133086,26806
11935,111250,25572
11937,124469,13629
11939,90048,28318
11940,117209,10952
11941,109921,23073
11942,91941,19411
11944,66989,12857
11946,103996,9454
11948,113563,47344
11949,109613,17701
11950,95649,14607
11951,88601,17715
11952,96150,12920
11953,86563,12047
11954,135927,31765
11955,66148,10036
11956,93611,37963
11957,78045,18741
11958,91154,67317
11959,145341,130776
11960,153646,31838
11961,73549,11392
11962,113125,72076
11963,100577,14125
11964,100813,81302
11965,91831,71739
11967,99209,9621
11968,128913,11828
11971,96319,19599
11975,148958,123621
11976,161442,140011
11977,133625,37972
11978,101444,15106
11980,95865,20523
12008,126076,22185
12009,100000,10349
12010,49705,3250
12015,74318,12487
12018,111667,10809
12019,102175,13802
12020,92344,5382
12022,84722,23383
12023,94097,16596
12025,64771,8161
12027,96780,19292
12028,73988,18549
12029,92024,13687
12031,62125,43438
12032,61250,24542
12033,82948,6814
12035,57083,30341
12036,36957,9189
12037,82273,11510
12040,68542,22239
12041,106484,42654
12042,72232,16764
12043,62204,11655
12045,68977,32012
12046,58375,55731
12047,65147,6177
12051,60221,24356
12052,104167,10648
12053,82847,19389
12054,117984,10665
12056,96417,18888
12057,77017,17529
12058,74952,16371
12059,90696,12928
12060,96964,29117
12061,108490,9569
12062,77321,9867
12063,78542,12037
12064,48750,29407
12065,106346,3914
12066,76310,12238
12067,108750,43957
12068,67232,10107
12070,54673,23170
12071,55139,20733
12072,70543,7585
12074,80859,21881
12075,70697,10276
12076,58289,7400
12077,116406,29493
12078,46386,3135
12083,80926,9497
12084,83051,16738
12085,35074,11244
12086,70000,4963
12087,78977,30402
12090,58229,7713
12092,61513,19886
12093,56250,7502
12094,97692,27028
12095,59904,9008
12106,77260,15244
12108,75809,7537
12110,93533,5621
12115,113750,39055
12116,74500,12359
12117,65724,14989
12118,83438,7388
12120,68750,38861
12121,108561,27324
12122,50278,7233
12123,94342,10140
12125,61750,15224
12130,74028,27297
12131,38750,31208
12132,113382,70006
12134,61667,8843
12136,116471,42290
12137,86952,16037
12138,66974,14130
12139,64250,43655
12140,89744,42294
12143,71750,20092
12144,85993,4679
12147,65083,23487
12148,117042,35295
12149,62083,7464
12150,79219,18245
12151,96000,18351
12153,77105,20396
12154,84063,17063
12155,54632,17032
12156,92708,37611
12157,66628,4707
12158,84388,10366
12159,103070,12861
12160,75375,16538
12164,61964,12592
12166,66488,9308
12167,52770,5223
12168,77946,15017
12169,37342,15968
12170,91328,5727
12172,54141,16419
12173,75139,15844
12175,77837,6394
12176,37917,9741
12177,78306,18277
12180,61595,2963
12182,53972,5717
12183,57750,21887
12184,82647,10873
12185,81504,17878
12186,108654,10526
12187,63646,24085
12188,75269,9859
12189,53443,4470
12190,44750,37008
12192,90495,17535
12193,66988,25309
12194,46250,20262
12195,128559,12487
12196,99932,15426
12197,77250,16240
12198,87114,8001
12202,45659,9526
12203,71001,4654
12204,62391,5704
12205,83103,5165
12206,32994,7590
12207,22670,8115
12208,66624,6237
12209,68185,8120
12210,47177,8671
12211,121209,17423
12302,83692,5415
12303,71573,5485
12304,55725,5926
12305,46367,12049
12306,71859,6188
12307,30151,10681
12308,51498,1932
12309,111830,4524
12401,61261,2865
12404,64188,28706
12405,60288,31280
12406,60313,24273
12407,75714,43193
12409,101724,35368
12410,27614,20991
12411,58750,22655
12412,70495,50713
12413,53795,10987
12414,53229,7634
12417,89038,43946
12418,68182,15632
12419,63553,36173
12420,105857,16054
12421,75714,15256
12422,51600,30483
12423,58000,11503
12424,56000,10579
12427,115274,67270
12428,50357,12120
12430,58942,17025
12431,82697,31280
12432,34444,21653
12433,48875,45352
12434,40638,3892
12435,73319,14522
12439,39659,35775
12440,93250,29912
12441,47593,25905
12442,24474,12965
12443,109205,24162
12444,61328,19033
12446,67733,8923
12448,185139,100346
12449,66875,16543
12451,58036,24271
12452,53438,51470
12454,55938,4711
12455,53750,27335
12456,84310,43629
12457,64659,18017
12458,55658,14134
12459,90114,26377
12461,86885,36141
12464,62083,16221
12465,60781,29053
12466,64400,15739
12468,46250,15566
12469,86691,29147
12470,73036,59104
12472,57500,8955
12473,87391,25649
12474,64000,32364
12477,66516,7828
12480,103516,96068
12481,59099,17207
12484,66364,26964
12485,56705,46898
12486,79406,17245
12487,68750,44572
12491,85938,24882
12492,114286,30188
12494,125725,27710
12495,58654,20567
12496,71364,21165
12498,58262,15317
12501,65299,14332
12502,79722,18700
12503,88958,19417
12507,100714,25963
12508,88910,13860
12512,130521,90827
12513,37679,15968
12514,113490,31996
12515,96118,87090
12516,116290,32662
12517,89457,25409
12518,95867,11106
12520,106433,11983
12521,76250,34260
12522,66283,11893
12523,61100,18906
12524,82556,5454
12525,80893,15364
12526,83067,5172
12528,78952,7977
12529,80362,14034
12531,123784,35100
12533,120362,10467
12534,61361,8297
12538,78445,10289
12540,105685,8584
12542,99911,16097
12543,80438,8797
12545,92218,27899
12546,72201,12482
12547,99219,32804
12548,73482,22088
12549,106435,6957
12550,69671,5428
12553,91698,11974
12561,80558,8442
12563,95000,15561
12564,106850,8977
12565,54477,6596
12566,94570,15637
12567,77813,12110
12569,89275,15519
12570,106557,6052
12571,102455,8040
12572,86700,13189
12575,134297,33732
12577,138676,68675
12578,67708,34279
12580,97961,37457
12581,78571,30896
12582,121771,16091
12583,81154,14855
12585,90167,14687
12586,75845,10347
12589,100771,9974
12590,96726,7494
12592,59668,18244
12594,83924,14969
12601,53105,3319
12603,92480,7843
12701,49653,7014
12719,69656,16423
12721,74947,11186
12723,79188,29847
12725,74286,37699
12726,65539,14946
12729,69000,36701
12732,45000,27796
12733,30231,16275
12734,55298,20553
12736,38468,14103
12737,94722,22113
12738,61250,18846
12740,79347,12229
12741,49028,40825
12742,51771,32474
12743,83500,63734
12746,65368,33936
12747,62589,26315
12748,73191,15752
12752,80313,65551
12754,47332,8240
12758,54858,14647
12759,40000,28177
12760,78906,25627
12762,59265,18647
12764,51030,2946
12765,77019,51042
12766,68393,23878
12767,60625,48129
12768,48125,32113
12770,87250,37844
12771,56228,6949
12775,81535,15326
12776,73125,29159
12777,122500,26340
12780,49764,8397
12781,66208,7465
12783,57100,19522
12785,108267,27409
12786,112279,66641
12787,105000,88950
12788,84423,27354
12789,61956,9266
12790,85219,9149
12791,83576,28702
12801,60700,4452
12803,66449,15149
12804,83204,6327
12808,95250,28486
12809,59669,10698
12810,61691,6777
12811,45096,3831
12812,167984,43430
12814,96328,23062
12815,58125,16005
12816,63739,7299
12817,67332,16701
12819,82813,24146
12820,126324,46158
12822,67558,4665
12823,110081,17082
12824,94861,21041
12827,74596,7527
12828,72813,11716
12831,91827,7811
12832,55383,8522
12833,87669,23791
12834,76681,6550
12835,65307,9180
12836,80320,9298
12837,69130,11663
12838,58476,5155
12839,57248,6440
12841,57130,25543
12842,53875,38999
12843,60000,21416
12844,124226,72985
12845,82857,21620
12846,54565,16630
12847,75167,25475
12850,87619,8124
12851,66667,20866
12852,47000,20450
12853,49440,7472
12855,57500,8536
12856,51402,1112
12857,65000,7756
12858,106250,89732
12859,102625,30263
12860,85556,13707
12861,83929,12123
12863,84514,36854
12865,62381,6574
12866,91935,4518
12870,57643,5728
12871,77500,12531
12873,84671,21981
12874,119375,48097
12878,66591,13272
12883,59591,11612
12884,40703,12818
12885,57579,9822
12886,110417,2183
12887,57279,18370
12901,55588,3834
12903,75060,7745
12910,47396,12751
12912,66667,13596
12913,66012,13977
12914,51458,25175
12915,34375,24219
12916,58125,18089
12917,62684,5695
12918,79455,19097
12919,58641,7907
12920,59688,13290
12921,74574,13047
12923,56364,8570
12926,52875,10197
12927,53125,37910
12928,68669,11185
12929,48571,22269
12930,59050,4966
12932,56000,21196
12934,63468,5622
12935,58320,8034
12936,66010,3780
12937,44688,9431
12941,71500,26646
12942,68333,38750
12943,44750,33342
12944,63242,6945
12945,78810,18239
12946,71061,22247
12950,70063,24496
12952,86786,51830
12953,55906,9471
12955,57188,29871
12956,34181,24500
12957,45324,18548
12958,63664,23998
12959,46502,15998
12960,50813,24061
12962,59492,6355
12964,87188,46252
12965,45625,32491
12966,65417,13110
12967,60515,13260
12969,46563,19734
12970,78750,17153
12972,94899,13653
12973,47813,26574
12974,53259,21893
12975,57455,6597
12976,61719,19629
12978,86219,12868
12979,42267,7332
12980,56411,7185
12981,74583,30711
12983,59573,5095
12985,70247,43217
12986,57578,7044
12987,97857,29371
12989,79896,16991
12992,69981,13927
12993,54886,12862
12996,70163,25392
12997,70703,15741
12998,42644,31348
13020,66458,3653
13021,52836,2574
13026,84077,3645
13027,81806,3925
13028,91833,18092
13029,82056,14711
13030,66696,12110
13031,82289,5707
13032,64358,4833
13033,68565,7202
13034,79028,15626
13035,87546,11747
13036,74762,8675
13037,74785,9947
13039,96111,5045
13040,57688,6818
13041,96793,11484
13042,65179,22965
13044,64441,42089
13045,59385,3593
13052,66181,12188
13053,72188,11422
13054,87625,17107
13057,66404,3013
13060,50417,14109
13061,76818,13243
13063,81607,21049
13065,102446,32961
13066,108293,7871
13068,71335,5407
13069,54754,4533
13071,66250,6565
13072,58295,5061
13073,63692,9252
13074,66786,9533
13076,82021,20709
13077,66002,6822
13078,99628,8772
13080,65559,7847
13081,93295,6683
13082,79045,9003
13083,72607,9881
13084,89375,14273
13087,115417,107913
13088,64647,3310
13090,77273,6549
13092,59620,15979
13101,58878,6662
13103,24712,19810
13104,108705,11203
13108,81663,5040
13110,96250,21050
13111,60845,16667
13112,93500,24025
13113,53750,52200
13114,66765,6527
13115,65000,13946
13116,72500,23371
13117,37841,20045
13118,62708,6412
13120,70966,12110
13122,53617,16359
13124,69000,17604
13126,58378,3901
13131,54779,7807
13132,64656,22554
13134,76750,48015
13135,71000,6855
13136,38333,28082
13140,54954,6819
13141,79000,12071
13142,77803,21563
13143,63343,6434
13144,47813,12761
13145,44167,13198
13146,58194,2359
13147,60833,16284
13148,54294,5000
13152,90781,10113
13153,nA,**
13155,57941,7556
13156,57857,10705
13157,35906,4733
13158,76154,9683
13159,84618,10617
13160,79125,11572
13162,74417,68469
13163,72500,27946
13164,95924,13485
13165,58870,6984
13166,69283,8457
13167,70104,18254
13202,22465,12192
13203,40118,4817
13204,38050,2891
13205,33874,3519
13206,51360,2284
13207,51902,5078
13208,40868,3857
13209,54833,6321
13210,34277,3816
13211,63258,5896
13212,67719,4178
13214,73929,11621
13215,94331,10264
13219,74679,5484
13224,68203,9624
13301,108162,18791
13302,50536,6898
13303,75469,15188
13304,86667,26093
