Zipcode,MedianIncome,ErrorMargin
14748,35313,16566
14750,63580,13936
14753,38472,11788
14754,48409,9170
14755,54200,4958
14757,57316,13180
14760,48948,5407
14767,60556,9574
14769,54917,6429
14770,53992,5663
14772,59653,10868
14775,47101,6638
14777,55268,11677
14779,38059,2460
14781,49605,8692
14782,53730,7403
14783,36818,8129
14784,85298,19564
14787,41035,11120
14801,56944,4934
14802,46111,16091
14803,51344,5667
14804,72656,9053
14805,48393,5468
14806,59107,5308
14807,54899,7485
14808,75313,38052
14809,53697,6027
14810,42302,2782
14812,58000,11016
14813,50000,7700
14814,101658,16882
14815,53068,15098
14817,80259,14121
14818,78177,11085
14819,51071,15861
14820,60521,6473
14821,63190,13305
14822,56111,6113
14823,56611,2060
14824,56875,45096
14825,69526,7629
14826,56683,8056
14827,70238,23303
14830,66366,3172
14836,64747,8538
14837,58896,4054
14838,61587,7241
14839,75893,11746
14840,66136,7710
14841,62083,45802
14842,62358,7440
14843,53247,6739
14845,67026,6085
14846,61528,8974
14847,64779,7301
14850,58846,4271
14855,55000,17976
14858,67273,12836
14859,62344,18923
14860,60391,11164
14861,50156,10623
14864,59375,10243
14865,40417,16593
14867,63161,12143
14869,61188,8392
14870,83929,11655
14871,62306,6783
14872,59375,41501
14873,50197,7340
14874,93750,9017
14877,59500,20646
14878,79107,17896
14879,61250,10613
14880,50000,11228
14881,72206,15766
14882,89519,10094
14883,62183,8815
14884,54833,11922
14885,61324,11771
14886,67895,10981
14889,60625,17251
14891,52663,6644
14892,50038,9465
14894,63173,12895
14895,54385,4700
14897,45862,3556
14898,48281,8888
14901,35417,2551
14903,61418,6132
14904,49963,7076
14905,74386,5163
